doc_id,pmid,sentence,text,umls_codes,umls_concept_name,possible_alternative_codes
22,10198641,Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers.,breast and ovarian cancers,"['T0000029 -C0238033', 'C0007104', 'C0006142', 'C0678222']","Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast","['hereditary breast/ovarian cancer (BRCA1', 'BRCA2) - C0677776', 'Familial cancer of breast C0346153', 'C0677776 -hereditary breast and ovarian cancer syndrome']"
22,10198641,Germline mutations of the Brca1 tumor suppressor gene predispose women to breast and ovarian cancers.,ovarian cancers,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
23,10200300,Heterozygous mutations in the CD95 (APO-1/Fas) receptor occur in most individuals with autoimmune lymphoproliferative syndrome (ALPS) and dominantly interfere with apoptosis by an unknown mechanism.,ALPS,['C1328840'],AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME,[]
23,10200300,Heterozygous mutations in the CD95 (APO-1/Fas) receptor occur in most individuals with autoimmune lymphoproliferative syndrome (ALPS) and dominantly interfere with apoptosis by an unknown mechanism.,autoimmune lymphoproliferative syndrome,['C1328840'],AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME,[]
24,10208848,Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.,FD,['C0002986'],Fabry Disease,[]
24,10208848,Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.,Fabry disease,['C0002986'],Fabry Disease,[]
24,10208848,Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.,angiokeratoma corporis diffusum,['C0002986'],Fabry Disease,[]
24,10208848,Fabry disease (FD) (angiokeratoma corporis diffusum) is an X-linked inborn error of glycosphingolipid metabolism caused by defects in the lysosomal alpha-galactosidase A gene GLA.,inborn error of glycosphingolipid metabolism,['C0025521'],Inborn Errors of Metabolism,[]
25,10220405,Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer.,breast and ovarian cancer,"['T0000029 -C0238033', 'C0007104', 'C0006142', 'C0678222']","Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast","['hereditary breast/ovarian cancer (BRCA1', 'BRCA2) - C0677776', 'Familial cancer of breast C0346153', 'C0677776 -hereditary breast and ovarian cancer syndrome']"
25,10220405,Germ-line mutations in the BRCA1 tumor-suppressor gene are associated with an increased susceptibility to breast and ovarian cancer.,ovarian cancer,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
26,102474,"No clinical disease was associated with this deficiency which was transmitted through the subject's family as a single genetic characteristic, the C6 deficiency being associated with a silent allele at the structural locus.",C6 deficiency,['C0398767'],Complement 6 deficiency,[]
27,10330348,Mutations resulting in defective splicing constitute a significant proportion 30/62 48% of a new series of mutations in the ATM gene in patients with ataxia-telangiectasia (AT) that were detected by the protein-truncation assay followed by sequence analysis of genomic DNA.,AT,['C0004135'],Ataxia Telangiectasia,[]
27,10330348,Mutations resulting in defective splicing constitute a significant proportion 30/62 48% of a new series of mutations in the ATM gene in patients with ataxia-telangiectasia (AT) that were detected by the protein-truncation assay followed by sequence analysis of genomic DNA.,ataxia-telangiectasia,['C0004135'],Ataxia Telangiectasia,[]
28,10353787,Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.,AGU,['C0268225'],Aspartylglucosaminuria,[]
28,10353787,Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.,Aspartylglucosaminuria,['C0268225'],Aspartylglucosaminuria,[]
28,10353787,Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.,lysosomal storage disorder,['C0085078'],Lysosomal Storage Diseases,[]
28,10353787,Aspartylglucosaminuria (AGU) is a lysosomal storage disorder caused by deficiency of aspartylglucosaminidase AGA.,deficiency of aspartylglucosaminidase,['C0268225'],Aspartylglucosaminuria,[]
29,10369870,"Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.",inherited peripheral neuropathies,['C0598589'],Inherited neuropathies,['Peripheral Neuropathy C0031117']
29,10369870,"Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.",Charcot-Marie-Tooth type 1,['C0007959'],Charcot-Marie-Tooth Disease,[]
29,10369870,"Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.",Dejerine-Sottas syndrome,['C0011195'],HMSN Type III,[]
29,10369870,"Mutations in the human EGR2 gene have recently been associated with the inherited peripheral neuropathies Charcot-Marie-Tooth type 1, Dejerine-Sottas syndrome and congenital hypomyelinating neuropathy.",congenital hypomyelinating neuropathy,['C0393818'],Congenital hypomyelinating neuropathy,[]
30,10369876,Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.,Familial neurohypophyseal diabetes insipidus,['C0342394'],Familial central diabetes insipidus,[]
30,10369876,Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.,autosomal dominant disorder,['C0265385'],Autosomal dominant hereditary disorder,[]
30,10369876,Familial neurohypophyseal diabetes insipidus is an autosomal dominant disorder characterized by post-natal development of arginine vasopressin (AVP) deficiency due to mutations in the AVP gene.,arginine vasopressin (AVP) deficiency,['C0149676'],Enzyme Deficiency,[]
31,10377440,A somatic mutation in the X linked PIGA gene is responsible for the deficiency of glycosyl phosphatidylinositol (GPI)-anchored proteins on blood cells from patients with paroxysmal nocturnal hemoglobinuria.,paroxysmal nocturnal hemoglobinuria,['C0024790'],Paroxysmal nocturnal hemoglobinuria,[]
33,10382909,"Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.",EMD,['C0410189'],"Muscular Dystrophy, Emery-Dreifuss",[]
33,10382909,"Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.",EMD,['C0410189'],"Muscular Dystrophy, Emery-Dreifuss",[]
33,10382909,"Direct sequencing of the emerin gene in 22 families with Emery-Dreifuss muscular dystrophy (EMD) revealed mutations in 21 (95%), confirming that emerin mutations can be identified in the majority of families with X-linked EMD.",Emery-Dreifuss muscular dystrophy,['C0410189'],"Muscular Dystrophy, Emery-Dreifuss",[]
34,10398279,"This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..",breast and ovarian cancers,"['T0000029 -C0238033', 'C0007104', 'C0006142', 'C0678222']","Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast","['hereditary breast/ovarian cancer (BRCA1', 'BRCA2) - C0677776', 'Familial cancer of breast C0346153', 'C0677776 -hereditary breast and ovarian cancer syndrome']"
34,10398279,"This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..",ovarian cancers,"['T0000018 - C0029925', 'C1140680']",Ovarian Carcinoma - Group name,[]
34,10398279,"This suggests that unlike cases of breast and ovarian cancers, mutations in BRCA1 or BRCA2 do not significantly predispose men to prostate cancer..",prostate cancer,"['T0000014- C0936223', 'C0376358']",Malignant neoplasm of prostate - Prostate cancer metastatic,['Prostate carcinoma [C0600139]']
35,10406661,"Sequencing of the index patients' genomic DNA identified four new dominant mutations in COL2A1 that result in Kniest dysplasia: a 21-bp deletion in exon 16, an 18-bp deletion in exon 19, and 4-bp deletions in the splice donor sites of introns 14 and 20.",Kniest dysplasia,['C0265279'],Kniest dysplasia,[]
36,10406661,"These data suggest that Kniest dysplasia results from shorter type II collagen monomers, and support the hypothesis that alteration of a specific COL2A1 domain, which may span from exons 12 to 24, leads to the Kniest dysplasia phenotype..",Kniest dysplasia,['C0265279'],Kniest dysplasia,[]
36,10406661,"These data suggest that Kniest dysplasia results from shorter type II collagen monomers, and support the hypothesis that alteration of a specific COL2A1 domain, which may span from exons 12 to 24, leads to the Kniest dysplasia phenotype..",Kniest dysplasia,['C0265279'],Kniest dysplasia,[]
37,10408771,"Classical galactosemia is caused by a deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase (GALT), which, in turn, is caused by mutations at the GALT gene.",Classical galactosemia,['C0268151'],Classical galactosemia,[]
37,10408771,"Classical galactosemia is caused by a deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase (GALT), which, in turn, is caused by mutations at the GALT gene.",deficiency in activity of the enzyme galactose-1-phosphate uridyl transferase,['C0149676'],Enzyme Deficiency,[]
38,10408776,"To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.",somatic von Hippel-Lindau (VHL),"['T0000009 - C0241952', 'C0019562']","INTRACRANIAL NEOPLASM, VON HIPPEL-LINDAU DISEASE - Von Hippel-Lindau Syndrome",['Somatic dysfunction C0264202']
38,10408776,"To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.",VHL,"['T0000009 - C0241952', 'C0019562']","INTRACRANIAL NEOPLASM, VON HIPPEL-LINDAU DISEASE - Von Hippel-Lindau Syndrome",[]
38,10408776,"To investigate the nature of somatic von Hippel-Lindau (VHL) mutations, we analyzed 173 primary sporadic human renal cell carcinomas for mutations of the VHL tumor suppressor gene, using polymerase chain reaction (PCR) and single-strand conformational polymorphism analysis (SSCP) of DNA.",renal cell carcinomas,"['T0000007 - C0007134', 'C0279702']",Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma,[]
39,10408776,"VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.",VHL,['C0019562'],Von Hippel-Lindau Syndrome,[]
39,10408776,"VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.",RCC,"['T0000007 - C0007134', 'C0279702']",Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma,[]
39,10408776,"VHL mutations were found only in the nonpapillary renal cell carcinoma (RCC) subtype, as previously reported.",renal cell carcinoma,"['T0000007 - C0007134', 'C0279702']",Renal Cell Carcinoma - Clear Cell Renal Cell Carcinoma,[]
40,10411929,"Chediak-Higashi syndrome (CHS) is an inherited disorder caused by mutations in the lysosomal trafficking regulator gene, LYST.",CHS,['C0007965'],chediak-higashi syndrome,[]
40,10411929,"Chediak-Higashi syndrome (CHS) is an inherited disorder caused by mutations in the lysosomal trafficking regulator gene, LYST.",Chediak-Higashi syndrome,['C0007965'],chediak-higashi syndrome,[]
41,10425038,"The gene for ataxia-telangiectasia, ATM, spans about 150 kb of genomic DNA.",ataxia-telangiectasia,['C0004135'],Ataxia Telangiectasia,[]
42,10426999,BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.,familial breast and ovarian cancers,"['T0000029 -C0238033', 'C0007104', 'C0006142', 'C0678222']","Malignant Breast Neoplasm,Female Breast Carcinoma  - Malignant Breast Neoplasm,Malignant neoplasm of breast","['hereditary breast/ovarian cancer (BRCA1', 'BRCA2) - C0677776', 'Familial cancer of breast C0346153', 'C0677776 -hereditary breast and ovarian cancer syndrome']"
42,10426999,BRCA1 encodes a tumor suppressor that is mutated in familial breast and ovarian cancers.,familial breast and ovarian cancers,['C1833686'],"OVARIAN CANCER, FAMILIA","['T0000018 - C0029925', 'C1140680']"
43,10430841,"We describe seven Dutch patients from six families with a slowly progressive, mainly spinal cord syndrome that remained for many years the sole expression of cerebrotendinous xanthomatosis CTX.",CTX,['C0238052'],"Xanthomatosis, Cerebrotendinous",[]
43,10430841,"We describe seven Dutch patients from six families with a slowly progressive, mainly spinal cord syndrome that remained for many years the sole expression of cerebrotendinous xanthomatosis CTX.",cerebrotendinous xanthomatosis,['C0238052'],"Xanthomatosis, Cerebrotendinous",[]
44,10441329,"Mutations in the ATP7B gene lead to Wilson disease, a copper toxicity disorder characterized by dramatic build-up of intracellular hepatic copper with subsequent hepatic and neuro-logical abnormalities.",Wilson disease,['C0019202'],Hepatolenticular Degeneration,[]
45,10441329,"Using homologous recombination to disrupt the normal translation of ATP7B, we have generated a strain of mice that are homozygous mutants (null) for the Wilson disease gene.",Wilson disease,['C0019202'],Hepatolenticular Degeneration,[]
46,10441329,"In summary, inactivation of the murine ATP7B gene produces a form of cirrhotic liver disease that resembles Wilson disease in humans and the 'toxic milk' phenotype in the mouse..",cirrhotic liver disease,['C0023890'],Liver Cirrhosis,[]
46,10441329,"In summary, inactivation of the murine ATP7B gene produces a form of cirrhotic liver disease that resembles Wilson disease in humans and the 'toxic milk' phenotype in the mouse..",Wilson disease,['C0019202'],Hepatolenticular Degeneration,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",ocular anomalies,['C0015393'],Eye Abnormalities,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",aniridia,['C0003076'],Aniridia,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",Peters anomaly,['C0344559'],Irido-corneo-trabecular dysgenesis,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",corneal dystrophy,['C0010036'],Corneal dystrophy,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",congenital cataract,['C0009691'],Congenital cataract,[]
47,10441571,"The PAX6 gene is involved in ocular morphogenesis, and PAX6 mutations have been detected in various types of ocular anomalies, including aniridia, Peters anomaly, corneal dystrophy, congenital cataract, and foveal hypoplasia.",foveal hypoplasia,['C1969726'],FOVEAL HYPOPLASIA,[]
48,10447259,"Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",WAS,['C0043194'],Wiskott-Aldrich Syndrome,[]
48,10447259,"Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",Wiskott-Aldrich syndrome,['C0043194'],Wiskott-Aldrich Syndrome,[]
48,10447259,"Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",thrombocytopenia,[],Thrombocytopenia,['C0040034']
48,10447259,"Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",eczema,[],Eczema,['C0013595']
48,10447259,"Wiskott-Aldrich syndrome (WAS) is an X-linked recessive immunodeficiency characterized by thrombocytopenia, eczema, and recurrent infections, and caused by mutations in the WAS protein (WASP) gene.",infections,"['T0000020 - C0021311', 'C0009450']",Infection - Group name,[]
49,10470088,Most sporadic colorectal cancers also have two APC mutations.,colorectal cancers,"['T0000016 - C0346629', 'C0009402', 'C1527249']",Malignant neoplasm of large intestine - group name,[]
50,10470286,Our data demonstrate that mutations occur in the Mxi1 gene in neurofibrosarcoma.,neurofibrosarcoma,['C0206729'],Neurofibrosarcoma,[]
51,10470286,Missense mutations in the functional domain of Mxi1 in these cases may be involved in the pathogenesis of neurofibrosarcoma..,neurofibrosarcoma,['C0206729'],Neurofibrosarcoma,[]
52,10480214,"These results confirmed the diagnosis of X-linked Emery-Dreifuss muscular dystrophy (EDMD), and reinforce the necessity of molecular genetic diagnosis of the membrane protein emerin in younger patients with possible EDMD before appearance of the typical symptoms, to avoid sudden cardiac death..",EDMD,['C0751337'],X-Linked Emery-Dreifuss Muscular Dystrophy,[]
52,10480214,"These results confirmed the diagnosis of X-linked Emery-Dreifuss muscular dystrophy (EDMD), and reinforce the necessity of molecular genetic diagnosis of the membrane protein emerin in younger patients with possible EDMD before appearance of the typical symptoms, to avoid sudden cardiac death..",EDMD,['C0751337'],X-Linked Emery-Dreifuss Muscular Dystrophy,[]
52,10480214,"These results confirmed the diagnosis of X-linked Emery-Dreifuss muscular dystrophy (EDMD), and reinforce the necessity of molecular genetic diagnosis of the membrane protein emerin in younger patients with possible EDMD before appearance of the typical symptoms, to avoid sudden cardiac death..",X-linked Emery-Dreifuss muscular dystrophy,['C0751337'],X-Linked Emery-Dreifuss Muscular Dystrophy,[]
